Start,Finish,Active Calories (kcal)
14-Sep-2019 00:00,15-Sep-2019 00:00,1503.77557986459
15-Sep-2019 00:00,16-Sep-2019 00:00,1030.28300000001
16-Sep-2019 00:00,17-Sep-2019 00:00,986.054000000001
17-Sep-2019 00:00,18-Sep-2019 00:00,1014.91
18-Sep-2019 00:00,19-Sep-2019 00:00,1225.345
19-Sep-2019 00:00,20-Sep-2019 00:00,1321.66200000001
20-Sep-2019 00:00,21-Sep-2019 00:00,777.888999999997
21-Sep-2019 00:00,22-Sep-2019 00:00,888.599999999991
22-Sep-2019 00:00,23-Sep-2019 00:00,608.036
23-Sep-2019 00:00,24-Sep-2019 00:00,1076.821
24-Sep-2019 00:00,25-Sep-2019 00:00,1139.81
25-Sep-2019 00:00,26-Sep-2019 00:00,899.155
26-Sep-2019 00:00,27-Sep-2019 00:00,1327.258
27-Sep-2019 00:00,28-Sep-2019 00:00,682.234
28-Sep-2019 00:00,29-Sep-2019 00:00,967.180000000005
29-Sep-2019 00:00,30-Sep-2019 00:00,838.39500000001
30-Sep-2019 00:00,01-Oct-2019 00:00,587.911000000002
01-Oct-2019 00:00,02-Oct-2019 00:00,638.995
02-Oct-2019 00:00,03-Oct-2019 00:00,1118.00600000004
03-Oct-2019 00:00,04-Oct-2019 00:00,743.243000000001
04-Oct-2019 00:00,05-Oct-2019 00:00,848.667000000003
05-Oct-2019 00:00,06-Oct-2019 00:00,1252.08500000001
06-Oct-2019 00:00,07-Oct-2019 00:00,327.176
07-Oct-2019 00:00,08-Oct-2019 00:00,640.995000000001
08-Oct-2019 00:00,09-Oct-2019 00:00,955.040000000002
09-Oct-2019 00:00,10-Oct-2019 00:00,1122.071
10-Oct-2019 00:00,11-Oct-2019 00:00,232.221
11-Oct-2019 00:00,12-Oct-2019 00:00,240.514
12-Oct-2019 00:00,13-Oct-2019 00:00,627.746000000001
13-Oct-2019 00:00,14-Oct-2019 00:00,458.83
14-Oct-2019 00:00,15-Oct-2019 00:00,891.010000000025
15-Oct-2019 00:00,16-Oct-2019 00:00,506.788
16-Oct-2019 00:00,17-Oct-2019 00:00,789.378
17-Oct-2019 00:00,18-Oct-2019 00:00,529.368
18-Oct-2019 00:00,19-Oct-2019 00:00,574.823000000001
19-Oct-2019 00:00,20-Oct-2019 00:00,394.625190189169
20-Oct-2019 00:00,21-Oct-2019 00:00,244.431186913806
21-Oct-2019 00:00,22-Oct-2019 00:00,802.879622897025
22-Oct-2019 00:00,23-Oct-2019 00:00,750.25
23-Oct-2019 00:00,24-Oct-2019 00:00,923.755000000006
24-Oct-2019 00:00,25-Oct-2019 00:00,867.84
25-Oct-2019 00:00,26-Oct-2019 00:00,700.409000000001
26-Oct-2019 00:00,27-Oct-2019 00:00,1163.59400000007
27-Oct-2019 00:00,28-Oct-2019 00:00,269.181
28-Oct-2019 00:00,29-Oct-2019 00:00,905.24
29-Oct-2019 00:00,30-Oct-2019 00:00,910.531044404803
30-Oct-2019 00:00,31-Oct-2019 00:00,512.055955595199
31-Oct-2019 00:00,01-Nov-2019 00:00,649.531
01-Nov-2019 00:00,02-Nov-2019 00:00,824.555912047057
02-Nov-2019 00:00,03-Nov-2019 00:00,813.896415312812
03-Nov-2019 00:00,04-Nov-2019 00:00,267.651672640136
04-Nov-2019 00:00,05-Nov-2019 00:00,951.740000000002
