In bed start,In bed Finish,Minutes in bed,Minutes asleep,Time to fall sleep,Number of sleep periods
10-Jul-2017 00:29,10-Jul-2017 06:28,359.4,0.0,0.0,0
10-Jul-2017 06:32,10-Jul-2017 06:41,9.0,0.0,0.0,0
10-Jul-2017 06:50,10-Jul-2017 07:00,9.66666666666667,0.0,0.0,0
10-Jul-2017 23:00,11-Jul-2017 04:21,321.533333333333,0.0,0.0,0
11-Jul-2017 04:30,11-Jul-2017 04:32,2.46666666666667,0.0,0.0,0
11-Jul-2017 04:38,11-Jul-2017 04:40,2.53333333333333,0.0,0.0,0
11-Jul-2017 04:54,11-Jul-2017 05:07,12.4,0.0,0.0,0
11-Jul-2017 05:12,11-Jul-2017 05:19,6.33333333333333,0.0,0.0,0
11-Jul-2017 05:19,11-Jul-2017 05:23,4.06666666666667,0.0,0.0,0
11-Jul-2017 05:24,11-Jul-2017 06:54,89.6666666666667,0.0,0.0,0
11-Jul-2017 06:55,11-Jul-2017 07:03,8.26666666666667,0.0,0.0,0
11-Jul-2017 23:54,12-Jul-2017 07:02,427.8,0.0,0.0,0
12-Jul-2017 07:02,12-Jul-2017 07:09,7.2,0.0,0.0,0
12-Jul-2017 07:10,12-Jul-2017 07:11,0.933333333333333,0.0,0.0,0
12-Jul-2017 23:17,13-Jul-2017 00:31,74.1333333333333,0.0,0.0,0
13-Jul-2017 00:38,13-Jul-2017 00:43,4.53333333333333,0.0,0.0,0
13-Jul-2017 00:43,13-Jul-2017 00:49,5.6,0.0,0.0,0
13-Jul-2017 00:53,13-Jul-2017 00:59,6.2,0.0,0.0,0
13-Jul-2017 01:00,13-Jul-2017 03:31,151.0,0.0,0.0,0
13-Jul-2017 03:31,13-Jul-2017 05:33,121.4,0.0,0.0,0
13-Jul-2017 05:33,13-Jul-2017 06:28,55.0666666666667,0.0,0.0,0
13-Jul-2017 06:28,13-Jul-2017 06:33,4.53333333333333,0.0,0.0,0
13-Jul-2017 06:45,13-Jul-2017 06:51,5.66666666666667,0.0,0.0,0
13-Jul-2017 06:52,13-Jul-2017 07:00,7.34567325015863,0.0,0.0,0
13-Jul-2017 23:57,14-Jul-2017 06:54,417.013528462251,0.0,0.0,0
14-Jul-2017 06:58,14-Jul-2017 06:59,1.66666666666667,0.0,0.0,0
17-Jul-2017 00:06,17-Jul-2017 07:00,413.582044766347,0.0,0.0,0
17-Jul-2017 23:00,18-Jul-2017 07:00,480.279187683264,0.0,0.0,0
19-Jul-2017 00:26,19-Jul-2017 07:00,394.184900550048,0.0,0.0,0
19-Jul-2017 23:00,20-Jul-2017 07:10,490.091514616211,0.0,0.0,0
21-Jul-2017 03:47,21-Jul-2017 07:20,212.650682716568,0.0,0.0,0
24-Jul-2017 00:10,24-Jul-2017 07:09,419.543646850189,0.0,0.0,0
24-Jul-2017 23:46,25-Jul-2017 07:09,443.144681582848,0.0,0.0,0
26-Jul-2017 01:22,26-Jul-2017 07:10,347.4,0.0,0.0,0
26-Jul-2017 07:10,26-Jul-2017 07:10,0.0314114332199097,0.0,0.0,0
27-Jul-2017 02:02,27-Jul-2017 07:30,327.50377583305,0.0,0.0,0
28-Jul-2017 00:48,28-Jul-2017 07:00,372.542970299721,0.0,0.0,0
30-Jul-2017 23:15,31-Jul-2017 07:00,464.645971760154,0.0,0.0,0
01-Aug-2017 00:47,01-Aug-2017 07:01,374.259683677554,0.0,0.0,0
01-Aug-2017 23:38,02-Aug-2017 07:00,442.24667216142,0.0,0.0,0
02-Aug-2017 23:00,03-Aug-2017 06:36,456.4,0.0,0.0,0
03-Aug-2017 06:38,03-Aug-2017 06:39,1.53333333333333,0.0,0.0,0
03-Aug-2017 06:41,03-Aug-2017 06:44,3.0,0.0,0.0,0
03-Aug-2017 06:51,03-Aug-2017 06:55,4.53333333333333,0.0,0.0,0
04-Aug-2017 02:43,04-Aug-2017 07:00,256.533333333333,0.0,0.0,0
04-Aug-2017 07:00,04-Aug-2017 07:10,9.71056796709697,0.0,0.0,0
07-Aug-2017 00:00,07-Aug-2017 05:54,353.733333333333,0.0,0.0,0
07-Aug-2017 06:05,07-Aug-2017 06:11,6.13333333333333,0.0,0.0,0
07-Aug-2017 06:12,07-Aug-2017 06:22,9.93333333333333,0.0,0.0,0
07-Aug-2017 06:37,07-Aug-2017 06:37,0.533333333333333,0.0,0.0,0
07-Aug-2017 06:49,07-Aug-2017 07:00,11.2265351166328,0.0,0.0,0
07-Aug-2017 23:00,08-Aug-2017 00:58,118.533333333333,0.0,0.0,0
08-Aug-2017 01:06,08-Aug-2017 06:19,312.933333333333,0.0,0.0,0
08-Aug-2017 06:25,08-Aug-2017 06:28,2.93333333333333,0.0,0.0,0
08-Aug-2017 06:30,08-Aug-2017 06:36,5.86666666666667,0.0,0.0,0
08-Aug-2017 06:46,08-Aug-2017 06:47,0.933333333333333,0.0,0.0,0
08-Aug-2017 06:49,08-Aug-2017 06:54,4.53333333333333,0.0,0.0,0
08-Aug-2017 06:57,08-Aug-2017 06:57,0.6,0.0,0.0,0
08-Aug-2017 06:59,08-Aug-2017 07:00,0.945603750149409,0.0,0.0,0
09-Aug-2017 05:35,09-Aug-2017 07:09,94.3795071999232,0.0,0.0,0
09-Aug-2017 23:00,10-Aug-2017 06:06,426.733333333333,0.0,0.0,0
10-Aug-2017 06:24,10-Aug-2017 06:26,2.26666666666667,0.0,0.0,0
10-Aug-2017 06:29,10-Aug-2017 06:32,3.53333333333333,0.0,0.0,0
10-Aug-2017 06:34,10-Aug-2017 06:36,2.26666666666667,0.0,0.0,0
10-Aug-2017 06:38,10-Aug-2017 06:44,5.66666666666667,0.0,0.0,0
10-Aug-2017 06:48,10-Aug-2017 06:51,2.8,0.0,0.0,0
10-Aug-2017 06:58,10-Aug-2017 07:00,2.05539583365122,0.0,0.0,0
11-Aug-2017 03:52,11-Aug-2017 07:06,194.533333333333,0.0,0.0,0
11-Aug-2017 07:06,11-Aug-2017 07:09,2.46666666666667,0.0,0.0,0
13-Aug-2017 23:06,14-Aug-2017 06:26,440.133333333333,0.0,0.0,0
14-Aug-2017 06:33,14-Aug-2017 06:40,7.26666666666667,0.0,0.0,0
14-Aug-2017 06:47,14-Aug-2017 06:53,6.0,0.0,0.0,0
14-Aug-2017 06:56,14-Aug-2017 06:59,2.93333333333333,0.0,0.0,0
14-Aug-2017 23:00,15-Aug-2017 00:47,107.133333333333,0.0,0.0,0
15-Aug-2017 00:48,15-Aug-2017 06:13,325.6,0.0,0.0,0
15-Aug-2017 06:25,15-Aug-2017 06:26,1.0,0.0,0.0,0
15-Aug-2017 06:28,15-Aug-2017 06:29,1.26666666666667,0.0,0.0,0
15-Aug-2017 06:31,15-Aug-2017 06:32,1.0,0.0,0.0,0
15-Aug-2017 06:34,15-Aug-2017 06:38,4.13333333333333,0.0,0.0,0
15-Aug-2017 06:54,15-Aug-2017 06:58,3.93333333333333,0.0,0.0,0
15-Aug-2017 23:21,16-Aug-2017 00:46,85.1333333333333,0.0,0.0,0
16-Aug-2017 00:46,16-Aug-2017 05:46,299.133333333333,0.0,0.0,0
16-Aug-2017 05:46,16-Aug-2017 07:18,92.6953415165345,0.0,0.0,0
16-Aug-2017 23:00,17-Aug-2017 00:56,116.4,0.0,0.0,0
17-Aug-2017 01:00,17-Aug-2017 06:05,304.666666666667,0.0,0.0,0
17-Aug-2017 06:13,17-Aug-2017 06:19,6.6,0.0,0.0,0
17-Aug-2017 06:24,17-Aug-2017 06:27,3.0,0.0,0.0,0
17-Aug-2017 06:34,17-Aug-2017 06:40,5.86666666666667,0.0,0.0,0
17-Aug-2017 06:44,17-Aug-2017 06:58,13.6,0.0,0.0,0
18-Aug-2017 00:26,18-Aug-2017 07:00,393.950163449844,0.0,0.0,0
21-Aug-2017 05:22,21-Aug-2017 07:09,107.273084550103,0.0,0.0,0
21-Aug-2017 23:00,22-Aug-2017 06:21,441.066666666667,0.0,0.0,0
22-Aug-2017 06:21,22-Aug-2017 06:30,8.93333333333333,0.0,0.0,0
22-Aug-2017 06:32,22-Aug-2017 06:33,0.733333333333333,0.0,0.0,0
22-Aug-2017 06:37,22-Aug-2017 06:40,3.53333333333333,0.0,0.0,0
22-Aug-2017 06:41,22-Aug-2017 06:47,5.86666666666667,0.0,0.0,0
22-Aug-2017 06:49,22-Aug-2017 07:00,11.4595335831245,0.0,0.0,0
22-Aug-2017 23:00,23-Aug-2017 06:29,449.2,0.0,0.0,0
23-Aug-2017 06:34,23-Aug-2017 06:46,11.7333333333333,0.0,0.0,0
23-Aug-2017 06:50,23-Aug-2017 06:53,2.6,0.0,0.0,0
23-Aug-2017 06:53,23-Aug-2017 06:54,0.533333333333333,0.0,0.0,0
23-Aug-2017 23:00,24-Aug-2017 06:35,455.533333333333,0.0,0.0,0
24-Aug-2017 06:35,24-Aug-2017 07:39,63.953679600358,0.0,0.0,0
24-Aug-2017 23:00,25-Aug-2017 06:30,450.0,0.0,0.0,0
25-Aug-2017 06:38,25-Aug-2017 07:02,23.8286424328883,0.0,0.0,0
28-Aug-2017 00:56,28-Aug-2017 07:02,366.266666666667,0.0,0.0,0
29-Aug-2017 00:35,29-Aug-2017 07:04,388.298775472244,0.0,0.0,0
29-Aug-2017 23:00,30-Aug-2017 04:09,309.0,0.0,0.0,0
30-Aug-2017 04:09,30-Aug-2017 06:27,137.933333333333,0.0,0.0,0
30-Aug-2017 06:34,30-Aug-2017 06:42,7.93333333333333,0.0,0.0,0
30-Aug-2017 06:45,30-Aug-2017 06:49,4.33333333333333,0.0,0.0,0
30-Aug-2017 06:53,30-Aug-2017 06:58,5.73333333333333,0.0,0.0,0
30-Aug-2017 23:00,31-Aug-2017 07:03,483.282376199961,0.0,0.0,0
31-Aug-2017 23:00,01-Sep-2017 05:56,416.733333333333,0.0,0.0,0
